timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777593156324,167,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [300 threads] 1-1,text,false,Login failed — check credentials in users.csv,337,361,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,167,0,91
1777593156388,145,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [300 threads] 1-2,text,false,Login failed — check credentials in users.csv,337,359,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,145,0,73
1777593156506,93,02 - GET /restaurants (search),200,OK,Virtual Users [300 threads] 1-1,text,true,,790,311,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,93,0,0
1777593156534,88,02 - GET /restaurants (search),200,OK,Virtual Users [300 threads] 1-2,text,true,,790,311,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,88,0,0
1777593156487,144,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [300 threads] 1-3,text,false,Login failed — check credentials in users.csv,337,361,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,144,0,73
1777593156599,76,03 - POST /restaurants/10/reviews,401,Unauthorized,Virtual Users [300 threads] 1-1,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/10/reviews,76,0,0
1777593156622,78,03 - POST /restaurants/10/reviews,401,Unauthorized,Virtual Users [300 threads] 1-2,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/10/reviews,78,0,0
1777593156632,79,02 - GET /restaurants (search),200,OK,Virtual Users [300 threads] 1-3,text,true,,790,311,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,78,0,0
1777593156585,149,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [300 threads] 1-4,text,false,Login failed — check credentials in users.csv,337,361,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,149,0,75
1777593156711,86,03 - POST /restaurants/10/reviews,401,Unauthorized,Virtual Users [300 threads] 1-3,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/10/reviews,86,0,0
1777593156735,81,02 - GET /restaurants (search),200,OK,Virtual Users [300 threads] 1-4,text,true,,790,311,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,81,0,0
1777593156687,178,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [300 threads] 1-5,text,false,Login failed — check credentials in users.csv,337,359,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,178,0,83
1777593156818,81,03 - POST /restaurants/10/reviews,401,Unauthorized,Virtual Users [300 threads] 1-4,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/10/reviews,81,0,0
1777593156867,76,02 - GET /restaurants (search),200,OK,Virtual Users [300 threads] 1-5,text,true,,790,311,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,76,0,0
1777593156790,166,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [300 threads] 1-6,text,false,Login failed — check credentials in users.csv,337,361,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,166,0,93
1777593156943,72,03 - POST /restaurants/10/reviews,401,Unauthorized,Virtual Users [300 threads] 1-5,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/10/reviews,72,0,0
1777593156885,144,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [300 threads] 1-7,text,false,Login failed — check credentials in users.csv,337,361,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,144,0,71
1777593156957,80,02 - GET /restaurants (search),200,OK,Virtual Users [300 threads] 1-6,text,true,,790,311,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,80,0,0
1777593157030,75,02 - GET /restaurants (search),200,OK,Virtual Users [300 threads] 1-7,text,true,,790,311,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,75,0,0
1777593157038,80,03 - POST /restaurants/10/reviews,401,Unauthorized,Virtual Users [300 threads] 1-6,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/10/reviews,80,0,0
1777593156982,146,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [300 threads] 1-8,text,false,Login failed — check credentials in users.csv,337,361,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,146,0,74
1777593157106,81,03 - POST /restaurants/10/reviews,401,Unauthorized,Virtual Users [300 threads] 1-7,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,4,4,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/10/reviews,81,0,0
1777593157128,78,02 - GET /restaurants (search),200,OK,Virtual Users [300 threads] 1-8,text,true,,790,311,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,78,0,0
1777593157085,152,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [300 threads] 1-9,text,false,Login failed — check credentials in users.csv,337,360,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,152,0,76
1777593157206,74,03 - POST /restaurants/10/reviews,401,Unauthorized,Virtual Users [300 threads] 1-8,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,3,3,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/10/reviews,74,0,0
